total_en_pageviews.page,total_en_pageviews.total_views
Mind_Your_Language,14101
Twentieth_Amendment_to_the_United_States_Constitution,14082
White_House_swimming_pool,14037
Jackie_Evancho,14025
Subhas_Chandra_Bose,14025
Kristy_Swanson,13993
Solar_System,13891
Clarence_Thomas,13889
States_and_union_territories_of_India,13877
Tupac_Shakur,13855
Heath_Ledger,13841
"Prince_Andrew,_Duke_of_York",13828
Jessica_Alba,13825
Harry_Potter_(film_series),13809
Elisabeth_Shue,13805
Rutherford_B._Hayes,13801
Selena_Gomez,13800
Mitt_Romney,13785
Territories_of_the_United_States,13773
United_States_presidential_transition,13769
Second_impeachment_trial_of_Donald_Trump,13766
Laura_Benanti,13757
Boogaloo_movement,13747
Alphonse_Areola,13744
Casey_Affleck,13744
Darryl_Dawkins,13743
Soviet_Union,13735
Manchester_United_F.C.,13732
Riverdale_(2017_TV_series),13730
Ron_Klain,13728
Christine_Pelosi,13715
Commutation_(law),13706
Nelson_Rockefeller,13690
Jane_Lynch,13681
Judas_and_the_Black_Messiah,13675
Chief_Justice_of_the_United_States,13661
Robert_Downey_Jr.,13659
Jeffrey_Epstein,13649
O._J._Simpson,13647
Robert_F._Kennedy,13647
Mark_Harmon,13641
India_national_cricket_team,13604
Candace_Owens,13569
David_Bowie,13566
Jake_Angeli,13563
Mark_Zuckerberg,13546
The_Karate_Kid,13545
Gal_Gadot,13534
L._Lin_Wood,13531
Presidential_transition_of_Joe_Biden,13530
The_Good_Doctor_(TV_series),13525
Sexual_intercourse,13515
Gaslighting,13508
James_Madison,13505
Republic_Day_(India),13504
Murder_of_Travis_Alexander,13503
Minecraft,13502
Isaac_Newton,13498
Batwoman_(TV_series),13491
2021_Indian_Premier_League,13491
Julia_Quinn,13487
Joe_Biden_2020_presidential_campaign,13482
Stand_by_Me_Doraemon_2,13468
Jeffrey_Dahmer,13464
Magnus_Carlsen,13425
Avengers:_Endgame,13423
Vanessa_Trump,13404
Supercoppa_Italiana,13402
Kepler's_Supernova,13399
Euphoria_(American_TV_series),13398
Indus_Valley_Civilisation,13390
Presidential_Medal_of_Freedom,13378
Windows_10_version_history,13359
List_of_youngest_members_of_the_United_States_Congress,13338
Juice_Wrld,13310
List_of_country_calling_codes,13303
Scarlet_Witch,13297
Brooklyn,13269
Leonardo_da_Vinci,13256
"Antony_Armstrong-Jones,_1st_Earl_of_Snowdon",13227
Death_of_Elisa_Lam,13225
Among_Us,13191
Pat_Morita,13185
The_Stand_(2020_miniseries),13179
Napoleon,13170
Audrey_Hepburn,13168
9-1-1:_Lone_Star,13168
Millard_Fillmore,13166
XXX_(2002_film),13163
1980_United_States_presidential_election,13154
Joseph_James_DeAngelo,13149
Ivar_the_Boneless,13138
Angela_Merkel,13122
Desi_Arnaz_Jr.,13113
Steve_Rushin,13099
Woke,13097
2020_United_States_Senate_elections,13078
Sarah_Palin,13040
Keeley_Hawes,13036
Greta_Thunberg,13003
Right_Side_Broadcasting_Network,12987
Zendaya,12980
Breaking_Bad,12969
Gavin_Newsom,12962
I_Have_a_Dream,12954
Sibusiso_Moyo,12946
Frank_Sinatra,12936
Neil_Armstrong,12935
2021,12914
Vikings_(season_6),12906
Narendra_Modi,12893
Claudia_Jessie,12875
Quentin_Tarantino,12820
Lee_Harvey_Oswald,12811
Nikola_Tesla,12811
"Prince_Edward,_Earl_of_Wessex",12808
Luke_Evans,12804
Yellowstone_(American_TV_series),12784
Timothée_Chalamet,12784
Frank_Lampard,12776
Israel,12770
Michelle_Williams_(actress),12763
Raphael_Rowe,12759
Kanye_West,12747
Chris_Hemsworth,12741
Jason_Statham,12735
Milinda_Panha,12729
Olivia_Wilde,12723
The_Big_Bang_Theory,12702
George_Soros,12691
Danny_Ings,12677
123Movies,12671
1972_United_States_presidential_election,12653
Keke_Palmer,12649
Capitol_Hill,12647
Lauren_London,12646
Ruth_Bader_Ginsburg,12635
Taj_Mahal,12627
Matthew_McConaughey,12609
Palindrome,12606
BBC,12605
The_1619_Project,12548
"Camilla,_Duchess_of_Cornwall",12545
Chris_Evans_(actor),12539
Delonte_West,12529
Boogie_(2021_film),12523
Black_Lives_Matter,12518
Game_of_Thrones,12514
List_of_most-viewed_YouTube_videos,12513
Benjamin_Franklin,12499
List_of_presidents_of_the_United_States_by_home_state,12497
Yoweri_Museveni,12485
Emma_Watson,12467
Redo_of_Healer,12464
Ottoman_Empire,12464
John_David_Washington,12459
Jim_Crow_laws,12449
The_Holocaust,12424
Snoop_Dogg,12416
Curse_of_Tippecanoe,12398
Rosie_Rivera,12394
Nikki_Haley,12391
War_of_1812,12390
Pieces_of_a_Woman,12383
Anthony_Mackie,12368
UFC_on_ABC:_Holloway_vs._Kattar,12359
Greenland,12356
Pfizer,12350
Harry_Styles,12348
Chester_A._Arthur,12312
Henry_VIII,12310
Michael_B._Jordan,12304
New_Zealand,12300
Bobby_Fischer,12262
France,12261
Suge_Knight,12260
Rothschild_family,12239
Trump_(president),12235
Desi_Arnaz,12235
Pakistan,12234
United_States_presidential_pets,12232
Kaley_Cuoco,12231
Prodigal_Son_(TV_series),12225
Steve_Harvey,12223
Hwang_Jin_Yi_(film),12218
Yarichin_Bitch_Club,12188
Jimmy_Kimmel,12183
Executive_order,12173
Condoleezza_Rice,12159
Coronavirus,12130
Filibuster_in_the_United_States_Senate,12101
Donnie_Darko,12092
Lindsey_Graham,12092
John_Newton,12091
Malala_Yousafzai,12086
Lucie_Arnaz,12072
George_Washington_Inaugural_Bible,12070
Brad_Pitt,12064
Justin_Bieber,12062
Nicole_Kidman,12057
List_of_serial_killers_in_the_United_States,12006
Elliot_Page,12004
